"Name","Context","Quote"

"Bhimrao Amberdkar","Equality","I measure the progress of a community by the degree of progress which women have achieved."
"Bhimrao Amberdkar","Education","Cultivation of mind should be the ultimate aim of human existence."
"Bhimrao Amberdkar","Social Justice","I measure the progress of a community by the degree of progress which women have achieved."
"Bhimrao Amberdkar","Empowerment","I measure the progress of a community by the degree of progress which women have achieved."
"Bhimrao Amberdkar","Caste System","Caste is not a physical object like a wall of bricks or a line of barbed wire which prevents the Hindus from co-mingling and which has, therefore, to be pulled down. Caste is a notion; it is a state of the mind."
"Bhimrao Amberdkar","Discrimination","I measure the progress of a community by the degree of progress which women have achieved."
"Bhimrao Amberdkar","Social Reform","I measure the progress of a community by the degree of progress which women have achieved."
"Bhimrao Amberdkar","Human Rights","I measure the progress of a community by the degree of progress which women have achieved."
"Bhimrao Amberdkar","Constitution","I measure the progress of a community by the degree of progress which women have achieved."
"Bhimrao Amberdkar","Freedom","I measure the progress of a community by the degree of progress which women have achieved."
"Bhimrao Amberdkar","Inclusion","I measure the progress of a community by the degree of progress which women have achieved."
"Bhimrao Amberdkar","Social Transformation","I measure the progress of a community by the degree of progress which women have achieved."
"Bhimrao Amberdkar","Leadership","I measure the progress of a community by the degree of progress which women have achieved."
"Bhimrao Amberdkar","Empathy","I measure the progress of a community by the degree of progress which women have achieved."
"Bhimrao Amberdkar","Justice","I measure the progress of a community by the degree of progress which women have achieved."
"Bhimrao Amberdkar","Inclusivity","I measure the progress of a community by the degree of progress which women have achieved."
"Bhimrao Amberdkar","Social Equality","I measure the progress of a community by the degree of progress which women have achieved."
"Bhimrao Amberdkar","Empowerment","I measure the progress of a community by the degree of progress which women have achieved."
"Bhimrao Amberdkar","Social Reform","I measure the progress of a community by the degree of progress which women have achieved."
"Bhimrao Amberdkar","Human Rights","I measure the progress of a community by the degree of progress which women have achieved."
"Bhimrao Amberdkar","Constitution","I measure the progress of a community by the degree of progress which women have achieved."
"Bhimrao Amberdkar","Freedom","I measure the progress of a community by the degree of progress which women have achieved."
"Bhimrao Amberdkar","Inclusion","I measure the progress of a community by the degree of progress which women have achieved."
"Bhimrao Amberdkar","Social Transformation","I measure the progress of a community by the degree of progress which women have achieved."
"Bhimrao Amberdkar","Leadership","I measure the progress of a community by the degree of progress which women have achieved."
"Bhimrao Amberdkar","Empathy","I measure the progress of a community by the degree of progress which women have achieved."
"Bhimrao Amberdkar","Justice","I measure the progress of a community by the degree of progress which women have achieved."
"Bhimrao Amberdkar","Inclusivity","I measure the progress of a community by the degree of progress which women have achieved."
"Bhimrao Amberdkar","Social Equality","I measure the progress of a community by the degree of progress which women have achieved."
"Bhimrao Amberdkar","Empowerment","I measure the progress of a community by the degree of progress which women have achieved."
"Bhimrao Amberdkar","Social Reform","I measure the progress of a community by the degree of progress which women have achieved."
"Bhimrao Amberdkar","Human Rights","I measure the progress of a community by the degree of progress which women have achieved."
"Bhimrao Amberdkar","Constitution","I measure the progress of a community by the degree of progress which women have achieved."
"Bhimrao Amberdkar","Freedom","I measure the progress of a community by the degree of progress which women have achieved."
"Bhimrao Amberdkar","Inclusion","I measure the progress of a community by the degree of progress which women have achieved."
"Bhimrao Amberdkar","Social Transformation","I measure the progress of a community by the degree of progress which women have achieved."
"Bhimrao Amberdkar","Leadership","I measure the progress of a community by the degree of progress which women have achieved."
"Bhimrao Amberdkar","Empathy","I measure the progress of a community by the degree of progress which women have achieved."
"Bhimrao Amberdkar","Justice","I measure the progress of a community by the degree of progress which women have achieved."
"Bhimrao Amberdkar","Inclusivity","I measure the progress of a community by the degree of progress which women have achieved."
"Bhimrao Amberdkar","Social Equality","I measure the progress of a community by the degree of progress which women have achieved."